FIGHERT1,FIGHERT2,OUTCOME1,OUTCOME2,METHOD,ROUND,TIME,REFEREE,DATE
Donald Cerrone ,Charles Oliveira ,W,L,KO/TKO ,1,3:01,Mario Yamasaki,"August 14, 2011"
Amir Sadollah ,Duane Ludwig ,L,W,Decision - Unanimous ,3,5:00,Rob Hinds,"August 14, 2011"
CB Dollaway ,Jared Hamman ,L,W,KO/TKO ,2,3:38,Herb Dean,"August 14, 2011"
Joseph Benavidez ,Eddie Wineland ,W,L,Decision - Unanimous ,3,5:00,Josh Rosenthal,"August 14, 2011"
Ed Herman ,Kyle Noke ,W,L,Submission ,1,4:15,Mario Yamasaki,"August 14, 2011"
Ronny Markes ,Karlos Vemola ,W,L,Decision - Unanimous ,3,5:00,Rob Hinds,"August 14, 2011"
Jimy Hettes ,Alex Caceres ,W,L,Submission ,2,3:12,Herb Dean,"August 14, 2011"
Cole Miller ,TJ O'Brien ,W,L,Submission ,2,2:38,Josh Rosenthal,"August 14, 2011"
Jacob Volkmann ,Danny Castillo ,W,L,Decision - Unanimous ,3,5:00,Mario Yamasaki,"August 14, 2011"
Edwin Figueroa ,Jason Reinhardt ,W,L,KO/TKO ,2,0:50,Rob Hinds,"August 14, 2011"
Rashad Evans ,Tito Ortiz ,W,L,KO/TKO ,2,4:48,Dan Miragliotta,"August 06, 2011"
Vitor Belfort ,Yoshihiro Akiyama ,W,L,KO/TKO ,1,1:52,Mario Yamasaki,"August 06, 2011"
Dennis Hallman ,Brian Ebersole ,L,W,KO/TKO ,1,4:28,Kevin Mulhall,"August 06, 2011"
Jorge Rivera ,Constantinos Philippou ,L,W,Decision - Split ,3,5:00,Mario Yamasaki,"August 06, 2011"
Rory MacDonald ,Mike Pyle ,W,L,KO/TKO ,1,3:54,Kevin Mulhall,"August 06, 2011"
Matt Hamill ,Alexander Gustafsson ,L,W,KO/TKO ,2,3:34,Dan Miragliotta,"August 06, 2011"
Chad Mendes ,Rani Yahya ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"August 06, 2011"
Ivan Menjivar ,Nick Pace ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"August 06, 2011"
Johny Hendricks ,Mike Pierce ,W,L,Decision - Split ,3,5:00,Mario Yamasaki,"August 06, 2011"
Mike Brown ,Nam Phan ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"August 06, 2011"
Rafael Natal ,Paul Bradley ,W,L,Decision - Unanimous ,3,5:00,Kevin Mulhall,"August 06, 2011"
Dominick Cruz ,Urijah Faber ,W,L,Decision - Unanimous ,5,5:00,Steve Mazzagatti,"July 02, 2011"
Wanderlei Silva ,Chris Leben ,L,W,KO/TKO ,1,0:27,Josh Rosenthal,"July 02, 2011"
Dennis Siver ,Matt Wiman ,W,L,Decision - Unanimous ,3,5:00,Yves Lavigne,"July 02, 2011"
Tito Ortiz ,Ryan Bader ,W,L,Submission ,1,1:56,Mario Yamasaki,"July 02, 2011"
Carlos Condit ,Dong Hyun Kim ,W,L,KO/TKO ,1,2:58,Steve Mazzagatti,"July 02, 2011"
Melvin Guillard ,Shane Roller ,W,L,KO/TKO ,1,2:12,Josh Rosenthal,"July 02, 2011"
George Sotiropoulos ,Rafael Dos Anjos ,L,W,KO/TKO ,1,0:59,Yves Lavigne,"July 02, 2011"
Brian Bowles ,Takeya Mizugaki ,W,L,Decision - Unanimous ,3,5:00,Mario Yamasaki,"July 02, 2011"
Brad Tavares ,Aaron Simpson ,L,W,Decision - Unanimous ,3,5:00,Josh Rosenthal,"July 02, 2011"
Anthony Njokuani ,Andre Winner ,W,L,Decision - Unanimous ,3,5:00,Yves Lavigne,"July 02, 2011"
Jeff Hougland ,Donny Walker ,W,L,Decision - Unanimous ,3,5:00,Mario Yamasaki,"July 02, 2011"
Cheick Kongo ,Pat Barry ,W,L,KO/TKO ,1,2:39,Dan Miragliotta,"June 26, 2011"
Charlie Brenneman ,Rick Story ,W,L,Decision - Unanimous ,3,5:00,Mark Matheny,"June 26, 2011"
Matt Brown ,John Howard ,W,L,Decision - Unanimous ,3,5:00,Dan Miragliotta,"June 26, 2011"
Christian Morecraft ,Matt Mitrione ,L,W,KO/TKO ,2,4:28,Mark Matheny,"June 26, 2011"
Tyson Griffin ,Manvel Gamburyan ,W,L,Decision - Unanimous ,3,5:00,Chip Snider,"June 26, 2011"
Joe Stevenson ,Javier Vazquez ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"June 26, 2011"
Joe Lauzon ,Curt Warburton ,W,L,Submission ,1,1:58,Chip Snider,"June 26, 2011"
Daniel Roberts ,Rich Attonito ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"June 26, 2011"
Nik Lentz ,Charles Oliveira ,NC,NC,Overturned ,2,1:48,Chip Snider,"June 26, 2011"
Ricardo Lamas ,Matt Grice ,W,L,KO/TKO ,1,4:41,Keith Peterson,"June 26, 2011"
Michael Johnson ,Edward Faaloloto ,W,L,KO/TKO ,1,4:42,Mark Matheny,"June 26, 2011"
Shane Carwin ,Junior Dos Santos ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"June 11, 2011"
Kenny Florian ,Diego Nunes ,W,L,Decision - Unanimous ,3,5:00,John McCarthy,"June 11, 2011"
Mark Munoz ,Demian Maia ,W,L,Decision - Unanimous ,3,5:00,Jerin Valel,"June 11, 2011"
Dave Herman ,Jon Olav Einemo ,W,L,KO/TKO ,2,3:19,Kevin Dornan,"June 11, 2011"
Vagner Rocha ,Donald Cerrone ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"June 11, 2011"
Yves Edwards ,Sam Stout ,L,W,KO/TKO ,1,3:52,John McCarthy,"June 11, 2011"
Jesse Bongfeldt ,Chris Weidman ,L,W,Submission ,1,4:54,Jerin Valel,"June 11, 2011"
Mike Massenzio ,Krzysztof Soszynski ,L,W,Decision - Unanimous ,3,5:00,Kevin Dornan,"June 11, 2011"
Nick Ring ,James Head ,W,L,Submission ,3,3:33,Herb Dean,"June 11, 2011"
Dustin Poirier ,Jason Young ,W,L,Decision - Unanimous ,3,5:00,John McCarthy,"June 11, 2011"
Joey Beltran ,Aaron Rosa ,W,L,KO/TKO ,3,1:26,Jerin Valel,"June 11, 2011"
Darren Elkins ,Michihiro Omigawa ,W,L,Decision - Unanimous ,3,5:00,Kevin Dornan,"June 11, 2011"
Ramsey Nijem ,Tony Ferguson ,L,W,KO/TKO ,1,3:54,Josh Rosenthal,"June 04, 2011"
Clay Guida ,Anthony Pettis ,W,L,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"June 04, 2011"
Ed Herman ,Tim Credeur ,W,L,KO/TKO ,1,0:48,Herb Dean,"June 04, 2011"
Fabio Maldonado ,Kyle Kingsbury ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"June 04, 2011"
Chuck O'Neil ,Chris Cope ,L,W,Decision - Unanimous ,3,5:00,Josh Rosenthal,"June 04, 2011"
Danny Downes ,Jeremy Stephens ,L,W,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"June 04, 2011"
Josh Grispi ,George Roop ,L,W,KO/TKO ,3,3:14,Herb Dean,"June 04, 2011"
Ryan McGillivray ,Shamar Bailey ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"June 04, 2011"
Clay Harvison ,Justin Edwards ,W,L,Decision - Split ,3,5:00,Josh Rosenthal,"June 04, 2011"
Scott Jorgensen ,Ken Stone ,W,L,KO/TKO ,1,4:01,Steve Mazzagatti,"June 04, 2011"
Reuben Duran ,Francisco Rivera ,W,L,Submission ,3,1:57,Herb Dean,"June 04, 2011"
Quinton Jackson ,Matt Hamill ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"May 28, 2011"
Frank Mir ,Roy Nelson ,W,L,Decision - Unanimous ,3,5:00,Josh Rosenthal,"May 28, 2011"
Stefan Struve ,Travis Browne ,L,W,KO/TKO ,1,4:11,Steve Mazzagatti,"May 28, 2011"
Thiago Alves ,Rick Story ,L,W,Decision - Unanimous ,3,5:00,Kim Winslow,"May 28, 2011"
Brian Stann ,Jorge Santiago ,W,L,KO/TKO ,2,4:29,Herb Dean,"May 28, 2011"
Miguel Torres ,Demetrious Johnson ,L,W,Decision - Unanimous ,3,5:00,Josh Rosenthal,"May 28, 2011"
Kendall Grove ,Tim Boetsch ,L,W,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"May 28, 2011"
Gleison Tibau ,Rafaello Oliveira ,W,L,Submission ,2,3:28,Kim Winslow,"May 28, 2011"
Michael McDonald ,Chris Cariaso ,W,L,Decision - Split ,3,5:00,Josh Rosenthal,"May 28, 2011"
Cole Escovedo ,Renan Barao ,L,W,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"May 28, 2011"
Georges St-Pierre ,Jake Shields ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"April 30, 2011"
Jose Aldo ,Mark Hominick ,W,L,Decision - Unanimous ,5,5:00,John McCarthy,"April 30, 2011"
Lyoto Machida ,Randy Couture ,W,L,KO/TKO ,2,1:05,Yves Lavigne,"April 30, 2011"
Vladimir Matyushenko ,Jason Brilz ,W,L,KO/TKO ,1,0:20,Dan Miragliotta,"April 30, 2011"
Mark Bocek ,Benson Henderson ,L,W,Decision - Unanimous ,3,5:00,Yves Lavigne,"April 30, 2011"
Nate Diaz ,Rory MacDonald ,L,W,Decision - Unanimous ,3,5:00,John McCarthy,"April 30, 2011"
Jake Ellenberger ,Sean Pierson ,W,L,KO/TKO ,1,2:42,Herb Dean,"April 30, 2011"
Daniel Roberts ,Claude Patrick ,L,W,Decision - Unanimous ,3,5:00,Dan Miragliotta,"April 30, 2011"
Ivan Menjivar ,Charlie Valencia ,W,L,KO/TKO ,1,1:30,John McCarthy,"April 30, 2011"
Jason MacDonald ,Ryan Jensen ,W,L,Submission ,1,1:37,Herb Dean,"April 30, 2011"
John Makdessi ,Kyle Watson ,W,L,KO/TKO ,3,1:27,Dan Miragliotta,"April 30, 2011"
Yves Jabouin ,Pablo Garza ,L,W,Submission ,1,4:31,Yves Lavigne,"April 30, 2011"
Phil Davis ,Rogerio Nogueira ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"March 26, 2011"
Anthony Johnson ,Dan Hardy ,W,L,Decision - Unanimous ,3,5:00,Josh Rosenthal,"March 26, 2011"
DaMarques Johnson ,Amir Sadollah ,L,W,KO/TKO ,2,3:27,Mario Yamasaki,"March 26, 2011"
Chan Sung Jung ,Leonard Garcia ,W,L,Submission ,2,4:59,Dan Miragliotta,"March 26, 2011"
Jon Madsen ,Mike Russow ,L,W,TKO - Doctor's Stoppage ,2,5:00,Anthony Hamlett,"March 26, 2011"
Alex Caceres ,Mackens Semerzier ,L,W,Submission ,1,3:18,Mario Yamasaki,"March 26, 2011"
John Hathaway ,Kris McCray ,W,L,Decision - Split ,3,5:00,Herb Dean,"March 26, 2011"
Michael McDonald ,Edwin Figueroa ,W,L,Decision - Unanimous ,3,5:00,Josh Rosenthal,"March 26, 2011"
Sean McCorkle ,Christian Morecraft ,L,W,Submission ,2,4:10,Anthony Hamlett,"March 26, 2011"
Johny Hendricks ,TJ Waldburger ,W,L,KO/TKO ,1,1:35,Mario Yamasaki,"March 26, 2011"
Mario Miranda ,Aaron Simpson ,L,W,Decision - Unanimous ,3,5:00,Dan Miragliotta,"March 26, 2011"
Waylon Lowe ,Nik Lentz ,L,W,Submission ,3,2:24,Anthony Hamlett,"March 26, 2011"
Mauricio Rua ,Jon Jones ,L,W,KO/TKO ,3,2:37,Herb Dean,"March 19, 2011"
Urijah Faber ,Eddie Wineland ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"March 19, 2011"
Jim Miller ,Kamal Shalorus ,W,L,KO/TKO ,3,2:15,Kevin Mulhall,"March 19, 2011"
Dan Miller ,Nate Marquardt ,L,W,Decision - Unanimous ,3,5:00,Dan Miragliotta,"March 19, 2011"
Mirko Filipovic ,Brendan Schaub ,L,W,KO/TKO ,3,3:44,Herb Dean,"March 19, 2011"
Luiz Cane ,Eliot Marshall ,W,L,KO/TKO ,1,2:15,Dan Miragliotta,"March 19, 2011"
Edson Barboza ,Anthony Njokuani ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"March 19, 2011"
Ricardo Almeida ,Mike Pyle ,L,W,Decision - Unanimous ,3,5:00,Kevin MacDonald,"March 19, 2011"
Kurt Pellegrino ,Gleison Tibau ,L,W,Decision - Split ,3,5:00,Herb Dean,"March 19, 2011"
Joseph Benavidez ,Ian Loveland ,W,L,Decision - Unanimous ,3,5:00,Kevin Mulhall,"March 19, 2011"
Constantinos Philippou ,Nick Catone ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"March 19, 2011"
Erik Koch ,Raphael Assuncao ,W,L,KO/TKO ,1,2:32,Kevin Mulhall,"March 19, 2011"
Diego Sanchez ,Martin Kampmann ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"March 03, 2011"
CB Dollaway ,Mark Munoz ,L,W,KO/TKO ,1,0:54,Mario Yamasaki,"March 03, 2011"
Alessio Sakara ,Chris Weidman ,L,W,Decision - Unanimous ,3,5:00,Gary Copeland,"March 03, 2011"
Brian Bowles ,Damacio Page ,W,L,Submission ,1,3:30,Chris Kinman,"March 03, 2011"
Steve Cantwell ,Cyrille Diabate ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"March 03, 2011"
Joe Stevenson ,Danny Castillo ,L,W,Decision - Unanimous ,3,5:00,Gary Copeland,"March 03, 2011"
Thiago Tavares ,Shane Roller ,L,W,KO/TKO ,2,1:28,Mario Yamasaki,"March 03, 2011"
Takeya Mizugaki ,Reuben Duran ,W,L,Decision - Split ,3,5:00,Herb Dean,"March 03, 2011"
Rob Kimmons ,Dongi Yang ,L,W,KO/TKO ,2,4:47,Gary Copeland,"March 03, 2011"
David Branch ,Rousimar Palhares ,L,W,Submission ,2,1:44,Mario Yamasaki,"March 03, 2011"
Igor Pokrajac ,Todd Brown ,W,L,KO/TKO ,1,5:00,Chris Kinman,"March 03, 2011"
BJ Penn ,Jon Fitch ,D,D,Decision - Majority ,3,5:00,Herb Dean,"February 26, 2011"
Michael Bisping ,Jorge Rivera ,W,L,KO/TKO ,2,1:54,Marc Goddard,"February 26, 2011"
George Sotiropoulos ,Dennis Siver ,L,W,Decision - Unanimous ,3,5:00,Leon Roberts,"February 26, 2011"
Brian Ebersole ,Chris Lytle ,W,L,Decision - Unanimous ,3,5:00,Steve Perceval,"February 26, 2011"
Chris Camozzi ,Kyle Noke ,L,W,Submission ,1,1:35,John Sharp,"February 26, 2011"
Ross Pearson ,Spencer Fisher ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"February 26, 2011"
Alexander Gustafsson ,James Te Huna ,W,L,Submission ,1,4:27,Marc Goddard,"February 26, 2011"
Nick Ring ,Riki Fukuda ,W,L,Decision - Unanimous ,3,5:00,Leon Roberts,"February 26, 2011"
Tom Blackledge ,Anthony Perosh ,L,W,Submission ,1,2:45,John Sharp,"February 26, 2011"
Zhang Tiequan ,Jason Reinhardt ,W,L,Submission ,1,0:48,Steve Perceval,"February 26, 2011"
Mark Hunt ,Chris Tuchscherer ,W,L,KO/TKO ,2,1:41,John Sharp,"February 26, 2011"
Maciej Jewtuszko ,Curt Warburton ,L,W,Decision - Unanimous ,3,5:00,Steve Perceval,"February 26, 2011"
Anderson Silva ,Vitor Belfort ,W,L,KO/TKO ,1,3:25,Mario Yamasaki,"February 05, 2011"
Forrest Griffin ,Rich Franklin ,W,L,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"February 05, 2011"
Jon Jones ,Ryan Bader ,W,L,Submission ,2,4:20,Herb Dean,"February 05, 2011"
Jake Ellenberger ,Carlos Eduardo Rocha ,W,L,Decision - Split ,3,5:00,Kim Winslow,"February 05, 2011"
Miguel Torres ,Antonio Banuelos ,W,L,Decision - Unanimous ,3,5:00,Mario Yamasaki,"February 05, 2011"
Donald Cerrone ,Paul Kelly ,W,L,Submission ,2,3:48,Steve Mazzagatti,"February 05, 2011"
Chad Mendes ,Michihiro Omigawa ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"February 05, 2011"
Norifumi Yamamoto ,Demetrious Johnson ,L,W,Decision - Unanimous ,3,5:00,Mario Yamasaki,"February 05, 2011"
Paul Taylor ,Gabe Ruediger ,W,L,KO/TKO ,2,1:42,Kim Winslow,"February 05, 2011"
Kyle Kingsbury ,Ricardo Romero ,W,L,KO/TKO ,1,0:21,Steve Mazzagatti,"February 05, 2011"
Mike Pierce ,Kenny Robertson ,W,L,KO/TKO ,2,0:29,Herb Dean,"February 05, 2011"
Melvin Guillard ,Evan Dunham ,W,L,KO/TKO ,1,2:58,Mario Yamasaki,"January 22, 2011"
Matt Mitrione ,Tim Hague ,W,L,KO/TKO ,1,2:59,Dan Miragliotta,"January 22, 2011"
Mark Hominick ,George Roop ,W,L,KO/TKO ,1,1:28,Don Turnage,"January 22, 2011"
Pat Barry ,Joey Beltran ,W,L,Decision - Unanimous ,3,5:00,Mario Yamasaki,"January 22, 2011"
Cole Miller ,Matt Wiman ,L,W,Decision - Unanimous ,3,5:00,Dan Miragliotta,"January 22, 2011"
Cody McKenzie ,Yves Edwards ,L,W,Submission ,2,4:33,Jon Schorle,"January 22, 2011"
DaMarques Johnson ,Mike Guymon ,W,L,Submission ,1,3:22,Don Turnage,"January 22, 2011"
Rani Yahya ,Mike Brown ,W,L,Decision - Unanimous ,3,5:00,Mario Yamasaki,"January 22, 2011"
Waylon Lowe ,Willamy Freire ,W,L,Decision - Unanimous ,3,5:00,Dan Miragliotta,"January 22, 2011"
Charlie Brenneman ,Amilcar Alves ,W,L,Decision - Unanimous ,3,5:00,Jon Schorle,"January 22, 2011"
Will Campuzano ,Chris Cariaso ,L,W,Decision - Unanimous ,3,5:00,Don Turnage,"January 22, 2011"
Frankie Edgar ,Gray Maynard ,D,D,Decision - Split ,5,5:00,Yves Lavigne,"January 01, 2011"
Chris Leben ,Brian Stann ,L,W,KO/TKO ,1,3:37,Josh Rosenthal,"January 01, 2011"
Brandon Vera ,Thiago Silva ,NC,NC,Overturned ,3,5:00,Steve Mazzagatti,"January 01, 2011"
Nate Diaz ,Dong Hyun Kim ,L,W,Decision - Unanimous ,3,5:00,Yves Lavigne,"January 01, 2011"
Clay Guida ,Takanori Gomi ,W,L,Submission ,2,4:27,Josh Rosenthal,"January 01, 2011"
Jeremy Stephens ,Marcus Davis ,W,L,KO/TKO ,3,2:33,Kim Winslow,"January 01, 2011"
Dustin Poirier ,Josh Grispi ,W,L,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"January 01, 2011"
Phil Baroni ,Brad Tavares ,L,W,KO/TKO ,1,4:20,Josh Rosenthal,"January 01, 2011"
Mike Brown ,Diego Nunes ,L,W,Decision - Split ,3,5:00,Yves Lavigne,"January 01, 2011"
Daniel Roberts ,Greg Soto ,W,L,Submission ,1,3:45,Kim Winslow,"January 01, 2011"
Jacob Volkmann ,Antonio McKee ,W,L,Decision - Split ,3,5:00,Steve Mazzagatti,"January 01, 2011"
Georges St-Pierre ,Josh Koscheck ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"December 11, 2010"
Stefan Struve ,Sean McCorkle ,W,L,KO/TKO ,1,3:55,Yves Lavigne,"December 11, 2010"
Jim Miller ,Charles Oliveira ,W,L,Submission ,1,1:59,Dan Miragliotta,"December 11, 2010"
Joe Stevenson ,Mac Danzig ,L,W,KO/TKO ,1,1:54,Dan Miragliotta,"December 11, 2010"
Thiago Alves ,John Howard ,W,L,Decision - Unanimous ,3,5:00,Yves Lavigne,"December 11, 2010"
Joe Doerksen ,Dan Miller ,L,W,Decision - Split ,3,5:00,Marc-Andre Cote,"December 11, 2010"
Mark Bocek ,Dustin Hazelett ,W,L,Submission ,1,2:33,Philippe Chartier,"December 11, 2010"
Jesse Bongfeldt ,Rafael Natal ,D,D,Decision - Majority ,3,5:00,Dan Miragliotta,"December 11, 2010"
Matthew Riddle ,Sean Pierson ,L,W,Decision - Unanimous ,3,5:00,Yves Lavigne,"December 11, 2010"
TJ Grant ,Ricardo Almeida ,L,W,Decision - Unanimous ,3,5:00,Philippe Chartier,"December 11, 2010"
Pat Audinwood ,John Makdessi ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"December 11, 2010"
Jonathan Brookins ,Michael Johnson ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"December 04, 2010"
Stephan Bonnar ,Igor Pokrajac ,W,L,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"December 04, 2010"
Kendall Grove ,Demian Maia ,L,W,Decision - Unanimous ,3,5:00,Josh Rosenthal,"December 04, 2010"
Johny Hendricks ,Rick Story ,L,W,Decision - Unanimous ,3,5:00,Steve Mazzagatti,"December 04, 2010"
Nam Phan ,Leonard Garcia ,L,W,Decision - Split ,3,5:00,Herb Dean,"December 04, 2010"
Cody McKenzie ,Aaron Wilkinson ,W,L,Submission ,1,2:03,Chris Tognoni,"December 04, 2010"
Ian Loveland ,Tyler Toner ,W,L,Decision - Unanimous ,3,5:00,Josh Rosenthal,"December 04, 2010"
Sako Chivitchian ,Kyle Watson ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"December 04, 2010"
Will Campuzano ,Nick Pace ,L,W,Submission ,3,4:33,Chris Tognoni,"December 04, 2010"
Fredson Paixao ,Pablo Garza ,L,W,KO/TKO ,1,0:51,Steve Mazzagatti,"December 04, 2010"
Rich Attonito ,David Branch ,L,W,Decision - Unanimous ,3,5:00,Josh Rosenthal,"December 04, 2010"
Quinton Jackson ,Lyoto Machida ,W,L,Decision - Split ,3,5:00,Herb Dean,"November 20, 2010"
Matt Hughes ,BJ Penn ,L,W,KO/TKO ,1,0:21,Dan Miragliotta,"November 20, 2010"
Gerald Harris ,Maiquel Falcao ,L,W,Decision - Unanimous ,3,5:00,Dan Miragliotta,"November 20, 2010"
Phil Davis ,Tim Boetsch ,W,L,Submission ,2,2:55,Herb Dean,"November 20, 2010"
George Sotiropoulos ,Joe Lauzon ,W,L,Submission ,2,2:43,Marc Fennell,"November 20, 2010"
Matt Brown ,Brian Foster ,L,W,Submission ,2,2:11,Herb Dean,"November 20, 2010"
Aaron Simpson ,Mark Munoz ,L,W,Decision - Unanimous ,3,5:00,Marc Fennell,"November 20, 2010"
Karo Parisyan ,Dennis Hallman ,L,W,KO/TKO ,1,1:47,Dan Miragliotta,"November 20, 2010"
Mike Lullo ,Edson Barboza ,L,W,KO/TKO ,3,0:26,Marc Fennell,"November 20, 2010"
Paul Kelly ,TJ O'Brien ,W,L,KO/TKO ,2,3:16,Dan Miragliotta,"November 20, 2010"
Tyson Griffin ,Nik Lentz ,L,W,Decision - Split ,3,5:00,Herb Dean,"November 20, 2010"
Nate Marquardt ,Yushin Okami ,L,W,Decision - Unanimous ,3,5:00,Leon Roberts,"November 13, 2010"
Dennis Siver ,Andre Winner ,W,L,Submission ,1,3:37,Kevin Mulhall,"November 13, 2010"
Amir Sadollah ,Peter Sobotta ,W,L,Decision - Unanimous ,3,5:00,Leon Roberts,"November 13, 2010"
Krzysztof Soszynski ,Goran Reljic ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"November 13, 2010"
Duane Ludwig ,Nick Osipczak ,W,L,Decision - Split ,3,5:00,Marc Goddard,"November 13, 2010"
Vladimir Matyushenko ,Alexandre Ferreira ,W,L,KO/TKO ,1,2:20,Kevin Mulhall,"November 13, 2010"
Pascal Krauss ,Mark Scanlon ,W,L,Decision - Unanimous ,3,5:00,Leon Roberts,"November 13, 2010"
Kyle Noke ,Rob Kimmons ,W,L,Submission ,2,1:33,Kevin Mulhall,"November 13, 2010"
Seth Petruzelli ,Karlos Vemola ,L,W,KO/TKO ,1,3:46,Leon Roberts,"November 13, 2010"
Kris McCray ,Carlos Eduardo Rocha ,L,W,Submission ,1,2:21,Marc Goddard,"November 13, 2010"
Brock Lesnar ,Cain Velasquez ,L,W,KO/TKO ,1,4:12,Herb Dean,"October 23, 2010"
Jake Shields ,Martin Kampmann ,W,L,Decision - Split ,3,5:00,John McCarthy,"October 23, 2010"
Diego Sanchez ,Paulo Thiago ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"October 23, 2010"
Tito Ortiz ,Matt Hamill ,L,W,Decision - Unanimous ,3,5:00,John McCarthy,"October 23, 2010"
Brendan Schaub ,Gabriel Gonzaga ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"October 23, 2010"
Court McGee ,Ryan Jensen ,W,L,Submission ,3,1:21,Herb Dean,"October 23, 2010"
Patrick Cote ,Tom Lawlor ,L,W,Decision - Unanimous ,3,5:00,John McCarthy,"October 23, 2010"
Mike Guymon ,Daniel Roberts ,L,W,Submission ,1,1:13,Jason Herzog,"October 23, 2010"
Sam Stout ,Paul Taylor ,W,L,Decision - Split ,3,5:00,Herb Dean,"October 23, 2010"
Chris Camozzi ,Dongi Yang ,W,L,Decision - Split ,3,5:00,Jason Herzog,"October 23, 2010"
Jon Madsen ,Gilbert Yvel ,W,L,KO/TKO ,1,1:48,John McCarthy,"October 23, 2010"
Michael Bisping ,Yoshihiro Akiyama ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"October 16, 2010"
Dan Hardy ,Carlos Condit ,L,W,KO/TKO ,1,4:27,Dan Miragliotta,"October 16, 2010"
John Hathaway ,Mike Pyle ,L,W,Decision - Unanimous ,3,5:00,Leon Roberts,"October 16, 2010"
Cheick Kongo ,Travis Browne ,D,D,Decision - Unanimous ,3,5:00,Marc Goddard,"October 16, 2010"
James Wilks ,Claude Patrick ,L,W,Decision - Unanimous ,3,5:00,Dan Miragliotta,"October 16, 2010"
Cyrille Diabate ,Alexander Gustafsson ,L,W,Submission ,2,2:41,Leon Roberts,"October 16, 2010"
Rob Broughton ,Vinicius Queiroz ,W,L,Submission ,3,1:43,Marc Goddard,"October 16, 2010"
Paul Sass ,Mark Holst ,W,L,Submission ,1,4:45,Dan Miragliotta,"October 16, 2010"
Spencer Fisher ,Curt Warburton ,W,L,Decision - Unanimous ,3,5:00,Leon Roberts,"October 16, 2010"
James McSweeney ,Fabio Maldonado ,L,W,KO/TKO ,3,0:48,Marc Goddard,"October 16, 2010"
Frank Mir ,Mirko Filipovic ,W,L,KO/TKO ,3,4:02,Herb Dean,"September 25, 2010"
Rogerio Nogueira ,Ryan Bader ,L,W,Decision - Unanimous ,3,5:00,Josh Rosenthal,"September 25, 2010"
Matt Serra ,Chris Lytle ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"September 25, 2010"
Sean Sherk ,Evan Dunham ,W,L,Decision - Split ,3,5:00,Rob Hinds,"September 25, 2010"
Melvin Guillard ,Jeremy Stephens ,W,L,Decision - Split ,3,5:00,Josh Rosenthal,"September 25, 2010"
CB Dollaway ,Joe Doerksen ,W,L,Submission ,1,2:13,Jeff Malott,"September 25, 2010"
Matt Mitrione ,Joey Beltran ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"September 25, 2010"
Thiago Tavares ,Pat Audinwood ,W,L,Submission ,1,3:47,Rob Hinds,"September 25, 2010"
Steve Lopez ,Waylon Lowe ,L,W,Decision - Split ,3,5:00,Herb Dean,"September 25, 2010"
TJ Grant ,Julio Paulino ,W,L,Decision - Unanimous ,3,5:00,Jeff Malott,"September 25, 2010"
Mark Hunt ,Sean McCorkle ,L,W,Submission ,1,1:03,Josh Rosenthal,"September 25, 2010"
Nate Marquardt ,Rousimar Palhares ,W,L,KO/TKO ,1,3:28,Herb Dean,"September 15, 2010"
Efrain Escudero ,Charles Oliveira ,L,W,Submission ,3,2:25,Kerry Hatley,"September 15, 2010"
Jim Miller ,Gleison Tibau ,W,L,Decision - Unanimous ,3,5:00,Jon Schorle,"September 15, 2010"
